date,returns_austria,returns_belgium,returns_finland,returns_france,returns_germany,returns_greece,returns_ireland,returns_italy,returns_netherlands,returns_portugal,returns_spain,returns_sweden,returns_switzerland,returns_uk,,EUI
25/03/2014,0.77%,0.94%,1.33%,1.57%,1.62%,0.75%,1.50%,0.95%,1.25%,0.82%,0.78%,1.17%,1.10%,1.63%,,157
26/03/2014,1.23%,0.45%,1.20%,0.94%,1.17%,1.43%,1.22%,1.36%,0.95%,0.92%,1.49%,-0.60%,0.44%,0.53%,,157
27/03/2014,-1.00%,0.17%,-0.67%,-0.14%,0.03%,-1.90%,-0.32%,0.31%,0.43%,0.11%,0.57%,-0.66%,0.08%,0.23%,,157
28/03/2014,0.93%,0.70%,1.12%,0.73%,1.43%,1.46%,0.45%,1.52%,0.80%,0.79%,1.27%,-0.13%,0.41%,0.53%,,157
29/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%,0.02%,-0.17%,,157
30/03/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.03%,-0.03%,0.19%,,157
31/03/2014,1.68%,0.27%,0.52%,-0.45%,-0.33%,0.00%,0.09%,0.89%,0.35%,0.43%,0.11%,1.75%,1.11%,-0.27%,,157
01/04/2014,1.23%,0.69%,2.13%,0.80%,0.50%,3.29%,1.68%,1.03%,0.60%,1.66%,1.18%,0.88%,-0.01%,0.45%,,116
02/04/2014,0.05%,-0.04%,0.19%,0.09%,0.20%,1.52%,0.01%,-1.02%,0.13%,-0.71%,-0.26%,-0.10%,0.44%,0.27%,,116
03/04/2014,0.56%,-0.10%,-0.53%,0.42%,0.06%,3.05%,-0.33%,1.37%,-0.11%,0.44%,1.41%,-1.25%,0.01%,0.01%,,116
04/04/2014,0.42%,0.07%,0.20%,0.79%,0.69%,-3.92%,1.02%,0.83%,0.44%,-0.56%,0.88%,-0.09%,-0.22%,0.63%,,116
05/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.10%,-0.03%,-0.10%,,116
06/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.03%,0.07%,0.21%,,116
07/04/2014,-2.00%,-0.70%,-1.32%,-1.09%,-1.93%,0.00%,-1.27%,-0.85%,-0.84%,-0.74%,-0.67%,-0.81%,-0.99%,-1.22%,,116
08/04/2014,-1.23%,-0.95%,0.09%,-0.25%,-0.21%,0.00%,-1.30%,-1.47%,-0.37%,-1.97%,-1.19%,0.36%,0.28%,-0.04%,,116
09/04/2014,1.41%,0.23%,-0.25%,0.40%,0.16%,0.00%,0.57%,0.23%,0.21%,0.40%,0.04%,0.20%,-0.12%,0.51%,,116
10/04/2014,-0.62%,-0.53%,-0.89%,-0.66%,-0.55%,0.73%,-0.25%,-1.34%,-0.37%,-0.91%,-1.43%,-1.95%,0.27%,-0.20%,,116
11/04/2014,-0.85%,-0.95%,-1.46%,-1.09%,-1.48%,-2.22%,-1.27%,-1.08%,-1.57%,-1.27%,-1.27%,-0.77%,-1.40%,-1.52%,,116
12/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,0.00%,-0.17%,,116
13/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.11%,0.46%,,116
14/04/2014,-1.14%,0.16%,-0.74%,0.43%,0.26%,-8.69%,-0.88%,0.55%,-0.03%,-0.32%,-0.17%,0.30%,0.08%,0.52%,,116
15/04/2014,-1.19%,-0.56%,-1.10%,-0.90%,-1.79%,-3.42%,-1.00%,-2.36%,-0.73%,-1.69%,-0.83%,-1.51%,-0.39%,-0.63%,,116
16/04/2014,1.03%,1.68%,1.32%,1.38%,1.56%,0.54%,1.54%,3.39%,0.84%,2.12%,1.61%,0.47%,0.30%,1.05%,,116
17/04/2014,0.41%,0.44%,0.44%,0.59%,0.98%,6.12%,-0.33%,0.37%,0.19%,0.91%,0.24%,-0.05%,0.52%,0.62%,,116
18/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,-0.08%,-0.05%,,116
19/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.02%,0.07%,,116
20/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,-0.05%,0.04%,-0.02%,,116
21/04/2014,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.08%,-0.05%,0.15%,,116
22/04/2014,1.69%,1.06%,1.75%,1.18%,2.00%,4.31%,1.66%,1.48%,0.39%,1.80%,1.40%,2.29%,0.93%,0.93%,,116
23/04/2014,0.16%,-0.62%,0.17%,-0.74%,-0.58%,0.00%,-0.82%,-1.19%,-0.24%,-1.21%,-0.13%,-1.04%,-0.11%,-0.47%,,116
24/04/2014,-0.19%,0.11%,0.01%,0.64%,0.05%,-3.97%,-0.52%,0.66%,-0.06%,-0.11%,0.36%,0.84%,-0.32%,0.46%,,116
